status,duration,credit_history,purpose,amount,savings,employment_duration,installment_rate,personal_status_sex,other_debtors,present_residence,property,age,other_installment_plans,housing,number_credits,job,people_liable,telephone,foreign_worker,credit_risk,default,amount_duration_ratio,age_bucket,log_amount,duration_squared,high_installment,amount_per_person,senior_flag,young_flag,multiple_credits,long_duration
0 <= ... < 200 DM,45,critical account/other credits existing,domestic appliances,4746,... < 100 DM,... < 1 year,4,male : single,none,2,building society savings agreement/life insurance,25,none,own,2,unskilled - resident,1,no,yes,0,0,105.46666666666667,18-30,8.465057436995709,2025,1,4746.0,0,0,1,1
no checking account,48,critical account/other credits existing,retraining,6110,... < 100 DM,1 <= ... < 4 years,1,male : single,none,3,unknown/no property,31,bank,for free,1,skilled employee/official,1,yes,yes,1,1,127.29166666666667,31-45,8.71768205216564,2304,0,6110.0,0,0,0,1
... >= 200 DM / salary for at least 1 year,18,existing credits paid back duly till now,domestic appliances,2100,... < 100 DM,1 <= ... < 4 years,4,male : single,co-applicant,2,real estate,37,stores,own,1,skilled employee/official,1,no,yes,0,0,116.66666666666667,31-45,7.649692623711514,324,1,2100.0,0,0,0,0
... >= 200 DM / salary for at least 1 year,10,existing credits paid back duly till now,repairs,1225,... < 100 DM,1 <= ... < 4 years,2,male : single,none,2,car or other,37,none,own,1,skilled employee/official,1,yes,yes,1,1,122.5,31-45,7.110696122978827,100,0,1225.0,0,0,0,0
0 <= ... < 200 DM,9,existing credits paid back duly till now,domestic appliances,458,... < 100 DM,1 <= ... < 4 years,4,male : single,none,3,real estate,24,none,own,1,skilled employee/official,1,no,yes,1,1,50.888888888888886,18-30,6.126869184114185,81,1,458.0,0,1,0,0
no checking account,30,existing credits paid back duly till now,domestic appliances,2333,500 <= ... < 1000 DM,... >= 7 years,4,male : single,none,2,car or other,30,bank,own,1,management/self-employed/highly qualified employee/officer,1,no,yes,1,1,77.76666666666667,18-30,7.75491027202143,900,1,2333.0,0,0,0,1
0 <= ... < 200 DM,12,existing credits paid back duly till now,domestic appliances,1158,500 <= ... < 1000 DM,1 <= ... < 4 years,3,male : divorced/separated,none,1,car or other,26,none,own,1,skilled employee/official,1,yes,yes,1,1,96.5,18-30,7.05444965813294,144,1,1158.0,0,0,0,0
0 <= ... < 200 DM,18,delay in paying off in the past,education,6204,... < 100 DM,1 <= ... < 4 years,2,male : single,none,4,real estate,44,none,own,1,unskilled - resident,2,yes,yes,1,1,344.6666666666667,31-45,8.73294952429643,324,0,3102.0,0,0,0,0
... < 100 DM,30,critical account/other credits existing,car (used),6187,100 <= ... < 500 DM,4 <= ... < 7 years,1,male : married/widowed,none,4,car or other,24,none,rent,2,skilled employee/official,1,no,yes,1,1,206.23333333333332,18-30,8.73020559553099,900,0,6187.0,0,1,1,1
... < 100 DM,48,critical account/other credits existing,car (used),6143,... < 100 DM,... >= 7 years,4,female : divorced/separated/married,none,4,unknown/no property,58,stores,for free,2,unskilled - resident,1,no,yes,0,0,127.97916666666667,46-60,8.723068501163928,2304,1,6143.0,0,0,1,1
no checking account,11,critical account/other credits existing,car (new),1393,... < 100 DM,... < 1 year,4,female : divorced/separated/married,none,4,car or other,35,none,own,2,management/self-employed/highly qualified employee/officer,1,no,yes,1,1,126.63636363636364,31-45,7.239214973779806,121,1,1393.0,0,0,1,0
no checking account,36,existing credits paid back duly till now,domestic appliances,2299,500 <= ... < 1000 DM,... >= 7 years,4,male : single,none,4,car or other,39,none,own,1,skilled employee/official,1,no,yes,1,1,63.861111111111114,31-45,7.740229524763182,1296,1,2299.0,0,0,0,1
... < 100 DM,6,existing credits paid back duly till now,car (used),1352,500 <= ... < 1000 DM,unemployed,1,female : divorced/separated/married,none,2,building society savings agreement/life insurance,23,none,rent,1,unemployed/unskilled - non-resident,1,yes,yes,1,1,225.33333333333334,18-30,7.20934025660291,36,0,1352.0,0,1,0,0
no checking account,11,critical account/other credits existing,car (new),7228,... < 100 DM,1 <= ... < 4 years,1,male : single,none,4,building society savings agreement/life insurance,39,none,own,2,unskilled - resident,1,no,yes,1,1,657.0909090909091,31-45,8.885717651712119,121,0,7228.0,0,0,1,0
no checking account,12,existing credits paid back duly till now,domestic appliances,2073,100 <= ... < 500 DM,1 <= ... < 4 years,4,female : divorced/separated/married,co-applicant,2,real estate,28,none,own,1,skilled employee/official,1,no,yes,1,1,172.75,18-30,7.636752112435779,144,1,2073.0,0,0,0,0
0 <= ... < 200 DM,24,delay in paying off in the past,radio/television,2333,unknown/no savings account,... < 1 year,4,male : single,none,2,building society savings agreement/life insurance,29,bank,own,1,unskilled - resident,1,no,yes,1,1,97.20833333333333,18-30,7.75491027202143,576,1,2333.0,0,0,0,1
0 <= ... < 200 DM,27,delay in paying off in the past,car (used),5965,... < 100 DM,... >= 7 years,1,male : single,none,2,car or other,30,none,own,2,management/self-employed/highly qualified employee/officer,1,yes,yes,1,1,220.92592592592592,18-30,8.693664334532016,729,0,5965.0,0,0,1,1
no checking account,12,existing credits paid back duly till now,domestic appliances,1262,... < 100 DM,1 <= ... < 4 years,3,male : single,none,2,car or other,25,none,own,1,skilled employee/official,1,no,yes,1,1,105.16666666666667,18-30,7.140453043101158,144,1,1262.0,0,0,0,0
no checking account,18,existing credits paid back duly till now,car (used),3378,unknown/no savings account,1 <= ... < 4 years,2,male : single,none,1,building society savings agreement/life insurance,31,none,own,1,skilled employee/official,1,yes,yes,1,1,187.66666666666666,31-45,8.125039097367745,324,0,3378.0,0,0,0,0
0 <= ... < 200 DM,36,delay in paying off in the past,car (new),2225,... < 100 DM,... >= 7 years,4,male : single,none,4,unknown/no property,57,bank,for free,2,skilled employee/official,1,yes,yes,0,0,61.80555555555556,46-60,7.707512194600341,1296,1,2225.0,0,0,1,1
no checking account,6,all credits at this bank paid back duly,car (new),783,unknown/no savings account,1 <= ... < 4 years,1,male : single,guarantor,2,real estate,26,stores,own,1,unskilled - resident,2,no,yes,1,1,130.5,18-30,6.663132695990803,36,0,391.5,0,0,0,0
0 <= ... < 200 DM,12,existing credits paid back duly till now,domestic appliances,6468,unknown/no savings account,unemployed,2,male : single,none,1,unknown/no property,52,none,own,1,management/self-employed/highly qualified employee/officer,1,yes,yes,0,0,539.0,46-60,8.774622220696997,144,0,6468.0,0,0,0,0
no checking account,36,critical account/other credits existing,domestic appliances,9566,... < 100 DM,1 <= ... < 4 years,2,female : divorced/separated/married,none,2,car or other,31,stores,own,2,skilled employee/official,1,no,yes,1,1,265.72222222222223,31-45,9.165970424240243,1296,0,9566.0,0,0,1,1
... >= 200 DM / salary for at least 1 year,18,existing credits paid back duly till now,car (new),1961,... < 100 DM,... >= 7 years,3,female : divorced/separated/married,none,2,car or other,23,none,own,1,management/self-employed/highly qualified employee/officer,1,no,yes,1,1,108.94444444444444,18-30,7.581209826196346,324,1,1961.0,0,1,0,0
... < 100 DM,36,critical account/other credits existing,radio/television,6229,... < 100 DM,... < 1 year,4,female : divorced/separated/married,co-applicant,4,unknown/no property,23,none,rent,2,unskilled - resident,1,yes,yes,0,0,173.02777777777777,18-30,8.736971085254146,1296,1,6229.0,0,1,1,1
0 <= ... < 200 DM,9,existing credits paid back duly till now,others,1391,... < 100 DM,1 <= ... < 4 years,2,male : married/widowed,none,1,real estate,27,bank,own,1,skilled employee/official,1,yes,yes,1,1,154.55555555555554,18-30,7.237778191923443,81,0,1391.0,0,0,0,0
0 <= ... < 200 DM,15,critical account/other credits existing,domestic appliances,1537,unknown/no savings account,... >= 7 years,4,male : single,guarantor,4,real estate,50,none,own,2,skilled employee/official,1,yes,yes,1,1,102.46666666666667,46-60,7.337587743538596,225,1,1537.0,0,0,1,0
0 <= ... < 200 DM,36,no credits taken/all credits paid back duly,others,1953,... < 100 DM,... >= 7 years,4,male : single,none,4,unknown/no property,61,none,for free,1,management/self-employed/highly qualified employee/officer,1,yes,yes,0,0,54.25,60+,7.577121930876679,1296,1,1953.0,1,0,0,1
0 <= ... < 200 DM,48,no credits taken/all credits paid back duly,others,14421,... < 100 DM,1 <= ... < 4 years,2,male : single,none,2,car or other,25,none,own,1,skilled employee/official,1,yes,yes,0,0,300.4375,18-30,9.57644075656207,2304,0,14421.0,0,0,0,1
no checking account,24,existing credits paid back duly till now,domestic appliances,3181,... < 100 DM,... < 1 year,4,female : divorced/separated/married,none,4,building society savings agreement/life insurance,26,none,own,1,skilled employee/official,1,yes,yes,1,1,132.54166666666666,18-30,8.064950891749143,576,1,3181.0,0,0,0,1
no checking account,27,existing credits paid back duly till now,education,5190,unknown/no savings account,... >= 7 years,4,male : single,none,4,building society savings agreement/life insurance,48,none,own,4,skilled employee/official,2,yes,yes,1,1,192.22222222222223,46-60,8.554488976159934,729,1,2595.0,0,0,1,1
no checking account,12,existing credits paid back duly till now,domestic appliances,2171,... < 100 DM,... < 1 year,2,female : divorced/separated/married,none,2,car or other,29,bank,own,1,skilled employee/official,1,no,yes,1,1,180.91666666666666,18-30,7.682943169878292,144,0,2171.0,0,0,0,0
0 <= ... < 200 DM,12,existing credits paid back duly till now,car (new),1007,... >= 1000 DM,1 <= ... < 4 years,4,male : married/widowed,none,1,real estate,22,none,own,1,skilled employee/official,1,no,yes,1,1,83.91666666666667,18-30,6.914730892718563,144,1,1007.0,0,1,0,0
no checking account,36,existing credits paid back duly till now,retraining,1819,... < 100 DM,1 <= ... < 4 years,4,male : single,none,4,unknown/no property,37,stores,for free,1,skilled employee/official,1,yes,yes,0,0,50.52777777777778,31-45,7.506042178518122,1296,1,1819.0,0,0,0,1
no checking account,36,existing credits paid back duly till now,domestic appliances,2394,unknown/no savings account,1 <= ... < 4 years,4,female : divorced/separated/married,none,4,car or other,25,none,own,1,skilled employee/official,1,no,yes,1,1,66.5,18-30,7.780720886117918,1296,1,2394.0,0,0,0,1
no checking account,36,existing credits paid back duly till now,car (used),8133,... < 100 DM,1 <= ... < 4 years,1,female : divorced/separated/married,none,2,building society savings agreement/life insurance,30,bank,own,1,skilled employee/official,1,no,yes,1,1,225.91666666666666,18-30,9.003685138166775,1296,0,8133.0,0,0,0,1
no checking account,7,critical account/other credits existing,domestic appliances,730,unknown/no savings account,... >= 7 years,4,male : single,none,2,building society savings agreement/life insurance,46,none,rent,2,unskilled - resident,1,yes,yes,1,1,104.28571428571429,46-60,6.593044534142437,49,1,730.0,0,0,1,0
... < 100 DM,8,critical account/other credits existing,furniture/equipment,1164,... < 100 DM,... >= 7 years,3,male : single,none,4,unknown/no property,51,bank,for free,2,management/self-employed/highly qualified employee/officer,2,yes,yes,1,1,145.5,46-60,7.059617628291383,64,1,582.0,0,0,1,0
0 <= ... < 200 DM,42,critical account/other credits existing,others,5954,... < 100 DM,4 <= ... < 7 years,2,female : divorced/separated/married,none,1,real estate,41,bank,own,2,unskilled - resident,1,no,yes,1,1,141.76190476190476,31-45,8.691818541575723,1764,0,5954.0,0,0,1,1
... < 100 DM,36,existing credits paid back duly till now,retraining,1977,unknown/no savings account,... >= 7 years,4,male : single,none,4,unknown/no property,40,none,own,1,management/self-employed/highly qualified employee/officer,1,yes,yes,0,0,54.916666666666664,31-45,7.589335823170617,1296,1,1977.0,0,0,0,1
... < 100 DM,12,critical account/other credits existing,car (used),1526,... < 100 DM,... >= 7 years,4,male : single,none,4,unknown/no property,66,none,for free,2,management/self-employed/highly qualified employee/officer,1,no,yes,1,1,127.16666666666667,60+,7.330405211844402,144,1,1526.0,1,0,1,0
... < 100 DM,42,existing credits paid back duly till now,domestic appliances,3965,... < 100 DM,... < 1 year,4,male : single,none,3,car or other,34,none,own,1,skilled employee/official,1,no,yes,0,0,94.4047619047619,31-45,8.285261134068948,1764,1,3965.0,0,0,0,1
0 <= ... < 200 DM,11,delay in paying off in the past,domestic appliances,4771,... < 100 DM,4 <= ... < 7 years,2,male : single,none,4,building society savings agreement/life insurance,51,none,own,1,skilled employee/official,1,no,yes,1,1,433.72727272727275,46-60,8.470311205516108,121,0,4771.0,0,0,0,0
no checking account,54,no credits taken/all credits paid back duly,car (used),9436,unknown/no savings account,1 <= ... < 4 years,2,male : single,none,2,building society savings agreement/life insurance,39,none,own,1,unskilled - resident,2,no,yes,1,1,174.74074074074073,31-45,9.152287440527566,2916,0,4718.0,0,0,0,1
0 <= ... < 200 DM,30,existing credits paid back duly till now,radio/television,3832,... < 100 DM,... < 1 year,2,male : married/widowed,none,1,building society savings agreement/life insurance,22,none,own,1,skilled employee/official,1,no,yes,1,1,127.73333333333333,18-30,8.251142139090751,900,0,3832.0,0,1,0,1
no checking account,24,existing credits paid back duly till now,domestic appliances,5943,unknown/no savings account,... < 1 year,1,female : divorced/separated/married,none,1,car or other,44,none,own,2,skilled employee/official,1,yes,yes,0,0,247.625,31-45,8.68996933536666,576,0,5943.0,0,0,1,1
no checking account,15,existing credits paid back duly till now,domestic appliances,1213,500 <= ... < 1000 DM,... >= 7 years,4,male : single,none,3,building society savings agreement/life insurance,47,stores,own,1,skilled employee/official,1,yes,yes,1,1,80.86666666666666,46-60,7.10085190894405,225,1,1213.0,0,0,0,0
no checking account,18,existing credits paid back duly till now,others,1568,100 <= ... < 500 DM,1 <= ... < 4 years,3,female : divorced/separated/married,none,4,building society savings agreement/life insurance,24,none,rent,1,unskilled - resident,1,no,yes,1,1,87.11111111111111,18-30,7.357556200910353,324,1,1568.0,0,1,0,0
... < 100 DM,24,existing credits paid back duly till now,furniture/equipment,1755,... < 100 DM,... >= 7 years,4,female : divorced/separated/married,guarantor,4,real estate,58,none,own,1,unskilled - resident,1,yes,yes,1,1,73.125,46-60,7.470224135899966,576,1,1755.0,0,0,0,1
... < 100 DM,10,existing credits paid back duly till now,domestic appliances,2315,... < 100 DM,... >= 7 years,3,male : single,none,4,real estate,52,none,own,1,unskilled - resident,1,no,yes,1,1,231.5,46-60,7.747164966520335,100,1,2315.0,0,0,0,0
no checking account,12,critical account/other credits existing,others,1412,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,guarantor,2,real estate,29,none,own,2,management/self-employed/highly qualified employee/officer,1,yes,yes,1,1,117.66666666666667,18-30,7.252762418053187,144,1,1412.0,0,0,1,0
0 <= ... < 200 DM,18,critical account/other credits existing,radio/television,1295,... < 100 DM,... < 1 year,4,female : divorced/separated/married,none,1,building society savings agreement/life insurance,27,none,own,2,skilled employee/official,1,no,yes,1,1,71.94444444444444,18-30,7.166265974133638,324,1,1295.0,0,0,1,0
0 <= ... < 200 DM,36,existing credits paid back duly till now,retraining,12612,100 <= ... < 500 DM,1 <= ... < 4 years,1,male : single,none,4,unknown/no property,47,none,for free,1,skilled employee/official,2,yes,yes,0,0,350.3333333333333,46-60,9.442404020664952,1296,0,6306.0,0,0,0,1
... < 100 DM,18,existing credits paid back duly till now,car (new),2249,100 <= ... < 500 DM,4 <= ... < 7 years,4,male : single,none,3,car or other,30,none,own,1,management/self-employed/highly qualified employee/officer,2,yes,yes,1,1,124.94444444444444,18-30,7.718240951959316,324,1,1124.5,0,0,0,0
... < 100 DM,12,no credits taken/all credits paid back duly,education,1108,... < 100 DM,4 <= ... < 7 years,4,male : single,none,3,real estate,28,none,own,2,skilled employee/official,1,no,yes,0,0,92.33333333333333,18-30,7.010311867307229,144,1,1108.0,0,0,1,0
no checking account,12,critical account/other credits existing,domestic appliances,618,... < 100 DM,... >= 7 years,4,male : single,none,4,real estate,56,none,own,1,skilled employee/official,1,no,yes,1,1,51.5,46-60,6.42648845745769,144,1,618.0,0,0,0,0
... < 100 DM,12,critical account/other credits existing,car (used),1409,... < 100 DM,... >= 7 years,4,male : single,none,3,real estate,54,none,own,1,skilled employee/official,1,no,yes,1,1,117.41666666666667,46-60,7.25063551189868,144,1,1409.0,0,0,0,0
no checking account,12,critical account/other credits existing,domestic appliances,797,unknown/no savings account,... >= 7 years,4,female : divorced/separated/married,none,3,building society savings agreement/life insurance,33,bank,own,1,unskilled - resident,2,no,yes,0,0,66.41666666666667,31-45,6.680854678790215,144,1,398.5,0,0,0,0
... >= 200 DM / salary for at least 1 year,24,critical account/other credits existing,radio/television,3617,unknown/no savings account,... >= 7 years,4,male : single,co-applicant,4,unknown/no property,20,none,rent,2,skilled employee/official,1,no,yes,1,1,150.70833333333334,18-30,8.193400231952097,576,1,3617.0,0,1,1,1
0 <= ... < 200 DM,12,existing credits paid back duly till now,car (new),1318,... >= 1000 DM,... >= 7 years,4,male : single,none,4,real estate,54,none,own,1,skilled employee/official,1,yes,yes,1,1,109.83333333333333,46-60,7.183870715062453,144,1,1318.0,0,0,0,0
0 <= ... < 200 DM,54,no credits taken/all credits paid back duly,others,15945,... < 100 DM,... < 1 year,3,male : single,none,4,unknown/no property,58,none,rent,1,skilled employee/official,1,yes,yes,0,0,295.27777777777777,46-60,9.676900579444158,2916,1,15945.0,0,0,0,1
no checking account,12,critical account/other credits existing,retraining,2012,unknown/no savings account,4 <= ... < 7 years,4,female : divorced/separated/married,none,2,car or other,61,none,own,1,skilled employee/official,1,no,yes,1,1,167.66666666666666,60+,7.60688453121963,144,1,2012.0,1,0,0,0
0 <= ... < 200 DM,18,existing credits paid back duly till now,others,2622,100 <= ... < 500 DM,1 <= ... < 4 years,4,male : single,none,4,car or other,34,none,own,1,skilled employee/official,1,no,yes,1,1,145.66666666666666,31-45,7.871692664323645,324,1,2622.0,0,0,0,0
0 <= ... < 200 DM,36,critical account/other credits existing,domestic appliances,2337,... < 100 DM,... >= 7 years,4,male : single,none,4,real estate,36,none,own,1,skilled employee/official,1,no,yes,1,1,64.91666666666667,31-45,7.756623334538858,1296,1,2337.0,0,0,0,1
0 <= ... < 200 DM,20,delay in paying off in the past,car (used),7057,unknown/no savings account,4 <= ... < 7 years,3,male : single,none,4,building society savings agreement/life insurance,36,bank,rent,2,management/self-employed/highly qualified employee/officer,2,yes,yes,1,1,352.85,31-45,8.86177531100083,400,1,3528.5,0,0,1,1
no checking account,24,existing credits paid back duly till now,car (new),1469,100 <= ... < 500 DM,... >= 7 years,4,male : married/widowed,none,4,real estate,41,none,rent,1,unskilled - resident,1,no,yes,1,1,61.208333333333336,31-45,7.292337176173877,576,1,1469.0,0,0,0,1
